token,date,ip,question,response
ktdrrp2014,2016-12-13 12:51:55,130.108.114.65,Build kitchen cabinets [Back translation in English:],n
ktdrrp2014,2016-12-13 12:51:55,130.108.114.65,Write books or plays [Back translation in English:],n
ktdrrp2014,2016-12-13 12:51:55,130.108.114.65,Play a musical instrument [Back translation in English:],n
ktdrrp2014,2016-12-13 12:51:55,130.108.114.65,Teach an individual an exercise routine [Back translation in English:],n
ktdrrp2014,2016-12-13 12:51:55,130.108.114.65,Develop a spreadsheet using computer software [Back translation in English:],n
ktdrrp2014,2016-12-13 12:51:55,130.108.114.65,Raise fish in a fish hatchery [Back translation in English:],n
ktdrrp2014,2016-12-13 12:51:55,130.108.114.65,Conduct chemical experiments [Back translation in English:],n
ktdrrp2014,2016-12-13 12:51:55,130.108.114.65,Study the movement of planets [Back translation in English:],n
ktdrrp2014,2016-12-13 12:51:55,130.108.114.65,Compose or arrange music [Back translation in English:],n
ktdrrp2014,2016-12-13 12:51:55,130.108.114.65,Perform rehabilitation therapy [Back translation in English:],n
ktdrrp2014,2016-12-13 12:51:55,130.108.114.65,Operate a beauty salon or barber shop [Back translation in English:],n
ktdrrp2014,2016-12-13 12:51:55,130.108.114.65,Load computer software into a large computer network [Back translation in English:],n
ktdrrp2014,2016-12-13 12:51:55,130.108.114.65,Operate a calculator [Back translation in English:],n
ktdrrp2014,2016-12-13 12:51:55,130.108.114.65,Assemble electronic parts [Back translation in English:],n
ktdrrp2014,2016-12-13 12:51:55,130.108.114.65,Drive a truck to deliver packages to offices and homes [Back translation in English:],n
ktdrrp2014,2016-12-13 12:51:55,130.108.114.65,Create special effects for movies [Back translation in English:],n
ktdrrp2014,2016-12-13 12:51:55,130.108.114.65,Start your own business [Back translation in English:],n
ktdrrp2014,2016-12-13 12:51:55,130.108.114.65,Calculate the wages of employees [Back translation in English:],n
ktdrrp2014,2016-12-13 12:51:55,130.108.114.65,Repair and install locks [Back translation in English:],n
ktdrrp2014,2016-12-13 12:51:55,130.108.114.65,Develop a way to better predict the weather [Back translation in English:],n
ktdrrp2014,2016-12-13 12:51:55,130.108.114.65,Work in a biology lab [Back translation in English:],n
ktdrrp2014,2016-12-13 12:51:55,130.108.114.65,Perform jazz or tap dance [Back translation in English:],n
ktdrrp2014,2016-12-13 12:51:55,130.108.114.65,Help conduct a group therapy session [Back translation in English:],n
ktdrrp2014,2016-12-13 12:51:55,130.108.114.65,Represent a client in a lawsuit [Back translation in English:],n
ktdrrp2014,2016-12-13 12:51:55,130.108.114.65,Market a new line of clothing [Back translation in English:],n
ktdrrp2014,2016-12-13 12:51:55,130.108.114.65,Set up and operate machines to make products [Back translation in English:],n
ktdrrp2014,2016-12-13 12:51:55,130.108.114.65,Invent a replacement for sugar [Back translation in English:],n
ktdrrp2014,2016-12-13 12:51:55,130.108.114.65,Do laboratory tests to identify diseases [Back translation in English:],n
